assists,blocks,field_goal_attempts,field_goals,free_throw_attempts,free_throws,match_date,minutes,personal_fouls,player_name,points,quarter,rebounds,source_url,steals,team,three_point_field_goal_attempts,three_point_field_goals,turnovers
0,0,4,0,0,0,20231025,9:39,0,Cam Whitmore,0,Q4,1,https://www.basketball-reference.com/boxscores/202310250ORL.html,0,HOU,2,0,1
0,0,2,1,0,0,20231101,12:00,2,Isaiah Stewart,2,Q4,2,https://www.basketball-reference.com/boxscores/202311010DET.html,1,DET,0,0,1
0,0,2,1,0,0,20231101,7:13,1,Ausar Thompson,2,Q4,2,https://www.basketball-reference.com/boxscores/202311010DET.html,1,DET,1,0,0
3,1,1,0,0,0,20231101,11:34,0,Ben Simmons,0,Q4,6,https://www.basketball-reference.com/boxscores/202311010MIA.html,0,BRK,0,0,3
1,0,4,2,5,5,20231101,5:52,0,Mikal Bridges,9,Q4,2,https://www.basketball-reference.com/boxscores/202311010MIA.html,0,BRK,0,0,0
1,1,2,2,2,2,20231101,7:09,2,Ryan Rollins,6,Q4,0,https://www.basketball-reference.com/boxscores/202311010ATL.html,0,WAS,0,0,0
2,0,1,1,0,0,20231101,7:09,0,Anthony Gill,2,Q4,1,https://www.basketball-reference.com/boxscores/202311010ATL.html,0,WAS,0,0,1
0,1,2,1,0,0,20231025,9:15,2,Jrue Holiday,2,Q4,1,https://www.basketball-reference.com/boxscores/202310250NYK.html,0,BOS,1,0,0
0,0,1,0,2,2,20231025,8:56,0,Derrick White,2,Q4,1,https://www.basketball-reference.com/boxscores/202310250NYK.html,1,BOS,1,0,0
1,0,3,2,1,1,20231025,4:14,0,Delon Wright,5,Q4,0,https://www.basketball-reference.com/boxscores/202310250IND.html,1,WAS,0,0,0
0,0,3,1,2,2,20231025,6:07,0,Corey Kispert,5,Q4,1,https://www.basketball-reference.com/boxscores/202310250IND.html,0,WAS,1,1,0
0,0,0,0,0,0,20231024,1:15,0,Maxwell Lewis,0,Q4,0,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,0,0,0
3,0,5,4,4,4,20231201,12:00,0,Franz Wagner,13,Q4,4,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,ORL,1,1,0
1,1,2,1,0,0,20231201,6:34,0,Derrick White,2,Q4,1,https://www.basketball-reference.com/boxscores/202312010BOS.html,0,BOS,0,0,0
,,,,,,20231201,,,Jayson Tatum,,Q4,,https://www.basketball-reference.com/boxscores/202312010BOS.html,,BOS,,,
,,,,,,20231024,,,Saben Lee,,Q4,,https://www.basketball-reference.com/boxscores/202310240GSW.html,,PHO,,,
,,,,,,20231024,,,Chimezie Metu,,Q4,,https://www.basketball-reference.com/boxscores/202310240GSW.html,,PHO,,,
1,0,5,1,0,0,20231024,9:46,0,Klay Thompson,3,Q4,1,https://www.basketball-reference.com/boxscores/202310240GSW.html,0,GSW,4,1,1
0,0,1,0,0,0,20231101,3:49,0,Thanasis Antetokounmpo,0,Q4,0,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,MIL,0,0,0
,,,,,,20231101,,,Robin Lopez,,Q4,,https://www.basketball-reference.com/boxscores/202311010TOR.html,,MIL,,,
0,0,0,0,0,0,20231201,2:01,1,John Konchar,0,Q4,0,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,0,0,0
0,0,2,0,0,0,20231201,2:01,0,Kenneth Lofton Jr.,0,Q4,2,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,0,0,0
,,,,,,20231025,,,Jock Landale,,Q4,,https://www.basketball-reference.com/boxscores/202310250ORL.html,,HOU,,,
0,0,0,0,0,0,20231025,6:27,1,Jermaine Samuels,0,Q4,0,https://www.basketball-reference.com/boxscores/202310250ORL.html,0,HOU,0,0,0
0,0,1,0,0,0,20231101,2:53,1,Killian Hayes,0,Q4,0,https://www.basketball-reference.com/boxscores/202311010DET.html,0,DET,0,0,0
1,0,1,1,0,0,20231101,6:41,1,Marcus Sasser,2,Q4,1,https://www.basketball-reference.com/boxscores/202311010DET.html,1,DET,0,0,0
0,0,3,2,0,0,20231101,5:52,1,Dorian Finney-Smith,5,Q4,0,https://www.basketball-reference.com/boxscores/202311010MIA.html,0,BRK,2,1,0
2,0,1,1,2,1,20231101,7:31,0,Lonnie Walker IV,4,Q4,1,https://www.basketball-reference.com/boxscores/202311010MIA.html,1,BRK,1,1,0
,,,,,,20231101,,,Jared Butler,,Q4,,https://www.basketball-reference.com/boxscores/202311010ATL.html,,WAS,,,
1,0,3,0,4,4,20231101,6:37,1,Trae Young,4,Q4,1,https://www.basketball-reference.com/boxscores/202311010ATL.html,1,ATL,1,0,1
0,0,0,0,0,0,20231025,4:46,0,Al Horford,0,Q4,2,https://www.basketball-reference.com/boxscores/202310250NYK.html,0,BOS,0,0,1
1,2,0,0,0,0,20231025,9:30,0,Bilal Coulibaly,0,Q4,1,https://www.basketball-reference.com/boxscores/202310250IND.html,0,WAS,0,0,3
5,0,4,3,0,0,20231024,8:06,0,Nikola Jokić,7,Q4,0,https://www.basketball-reference.com/boxscores/202310240DEN.html,1,DEN,2,1,1
2,2,1,0,2,1,20231201,8:51,1,Jalen Suggs,1,Q4,1,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,ORL,1,0,0
0,0,0,0,0,0,20231201,5:26,0,Sam Hauser,0,Q4,1,https://www.basketball-reference.com/boxscores/202312010BOS.html,0,BOS,0,0,1
1,0,5,1,0,0,20231024,8:46,0,Chris Paul,2,Q4,0,https://www.basketball-reference.com/boxscores/202310240GSW.html,1,GSW,4,0,0
3,0,5,4,0,0,20231101,6:53,1,Pascal Siakam,11,Q4,3,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,TOR,4,3,0
0,0,3,1,0,0,20231201,6:42,0,Kyrie Irving,2,Q4,2,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,DAL,0,0,0
0,0,3,2,0,0,20231025,4:48,0,Jeenathan Williams,4,Q4,0,https://www.basketball-reference.com/boxscores/202310250ORL.html,0,HOU,1,0,0
0,0,3,0,0,0,20231025,4:48,0,Aaron Holiday,0,Q4,0,https://www.basketball-reference.com/boxscores/202310250ORL.html,0,HOU,1,0,0
0,0,1,1,0,0,20231101,4:47,1,Jaden Ivey,2,Q4,0,https://www.basketball-reference.com/boxscores/202311010DET.html,0,DET,0,0,0
0,0,1,0,0,0,20231101,8:10,0,Joe Harris,0,Q4,0,https://www.basketball-reference.com/boxscores/202311010DET.html,0,DET,1,0,0
0,0,3,2,0,0,20231101,6:08,0,Armoni Brooks,6,Q4,1,https://www.basketball-reference.com/boxscores/202311010MIA.html,0,BRK,3,2,0
2,0,2,0,0,0,20231101,8:48,0,Dejounte Murray,0,Q4,2,https://www.basketball-reference.com/boxscores/202311010ATL.html,0,ATL,0,0,1
0,1,1,0,0,0,20231025,2:45,0,Sam Hauser,0,Q4,0,https://www.basketball-reference.com/boxscores/202310250NYK.html,0,BOS,1,0,0
